multiTimeline
Category: All categories,
,
Month,football concussion: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,15
2005-11,0
2005-12,0
2006-01,0
2006-02,13
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,10
2006-09,15
2006-10,16
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,11
2007-09,15
2007-10,16
2007-11,9
2007-12,7
2008-01,0
2008-02,6
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,11
2008-09,16
2008-10,18
2008-11,9
2008-12,0
2009-01,5
2009-02,6
2009-03,0
2009-04,9
2009-05,5
2009-06,0
2009-07,5
2009-08,8
2009-09,29
2009-10,37
2009-11,47
2009-12,26
2010-01,18
2010-02,20
2010-03,11
2010-04,13
2010-05,14
2010-06,0
2010-07,8
2010-08,23
2010-09,40
2010-10,54
2010-11,45
2010-12,27
2011-01,22
2011-02,27
2011-03,18
2011-04,19
2011-05,15
2011-06,11
2011-07,11
2011-08,29
2011-09,44
2011-10,39
2011-11,33
2011-12,21
2012-01,17
2012-02,21
2012-03,15
2012-04,19
2012-05,31
2012-06,17
2012-07,16
2012-08,36
2012-09,52
2012-10,56
2012-11,49
2012-12,34
2013-01,26
2013-02,28
2013-03,21
2013-04,26
2013-05,19
2013-06,12
2013-07,15
2013-08,40
2013-09,64
2013-10,63
2013-11,61
2013-12,35
2014-01,27
2014-02,30
2014-03,23
2014-04,24
2014-05,25
2014-06,19
2014-07,20
2014-08,39
2014-09,58
2014-10,69
2014-11,48
2014-12,39
2015-01,24
2015-02,30
2015-03,30
2015-04,32
2015-05,23
2015-06,13
2015-07,16
2015-08,38
2015-09,79
2015-10,73
2015-11,97
2015-12,96
2016-01,81
2016-02,55
2016-03,44
2016-04,70
2016-05,45
2016-06,24
2016-07,34
2016-08,43
2016-09,72
2016-10,68
2016-11,59
2016-12,44
2017-01,34
2017-02,37
2017-03,30
2017-04,34
2017-05,28
2017-06,18
2017-07,24
2017-08,43
2017-09,65
2017-10,62
2017-11,54
2017-12,40
2018-01,35
2018-02,42
2018-03,26
2018-04,30
2018-05,27
2018-06,16
2018-07,18
2018-08,34
2018-09,55
2018-10,52
2018-11,43
2018-12,29
2019-01,23
2019-02,29
2019-03,24
2019-04,24
2019-05,20
2019-06,12
2019-07,16
2019-08,32
2019-09,52
2019-10,47
2019-11,38
2019-12,26
2020-01,32
2020-02,24
2020-03,14
2020-04,13
2020-05,11
2020-06,10
2020-07,11
2020-08,13
2020-09,21
2020-10,22
2020-11,18
2020-12,13
2021-01,46
2021-02,18
2021-03,12
2021-04,17
2021-05,11
2021-06,10
2021-07,13
2021-08,20
2021-09,27
2021-10,34
2021-11,22
2021-12,19
2022-01,23
2022-02,21
2022-03,14
2022-04,17
2022-05,15
2022-06,13
2022-07,15
2022-08,27
2022-09,59
2022-10,99
2022-11,40
2022-12,33
2023-01,39
2023-02,24
2023-03,19
2023-04,18
2023-05,17
2023-06,15
2023-07,15
2023-08,31
2023-09,50
2023-10,43
2023-11,35
2023-12,27
2024-01,25
2024-02,22
2024-03,18
2024-04,20
2024-05,15
2024-06,9
2024-07,18
2024-08,32
2024-09,100
2024-10,60
